Date 1,Time 1,RSSI,Badge,Date 2,Badge to Badge 1,6,7,8
2020-10-23,13:57:32:,188,09,0,,,,
2020-10-23,13:57:39:,192,26,0,,,,
2020-10-23,13:57:41:,178,09,8,,,,
2020-10-23,13:57:44:,181,26,8,[9:216],,,
2020-10-23,13:57:50:,183,09,16,[26:218],[26:218],,
2020-10-23,13:57:53:,188,09,24,,,,
2020-10-23,13:57:55:,182,26,16,[9:215],,,
2020-10-23,13:57:59:,182,26,24,[9:215],,,
2020-10-23,13:58:00:,190,09,32,[26:218],,,
2020-10-23,13:58:09:,182,26,32,[9:215],,,
2020-10-23,13:58:12:,189,09,40,[26:217],,,
2020-10-23,13:58:21:,181,26,40,[9:215],,,
2020-10-23,13:58:22:,182,26,2020-10-23,13:58:23,,,
2020-10-23,13:58:23:,189,09,48,[26:218],,,
2020-10-23,13:58:30:,189,09,2020-10-23,13:58:24,[26:218],[26:218],
2020-10-23,13:58:32:,189,09,2020-10-23,13:58:32,,,
2020-10-23,13:58:33:,181,26,2020-10-23,13:58:31,[9:216],,
2020-10-23,13:58:41:,181,26,2020-10-23,13:58:39,[9:216],[9:215],
2020-10-23,13:58:45:,189,09,2020-10-23,13:58:40,[26:218],,
2020-10-23,13:58:48:,181,26,2020-10-23,13:58:47,[9:215],,
2020-10-23,13:58:54:,189,09,2020-10-23,13:58:48,[26:218],,
2020-10-23,13:58:58:,189,09,2020-10-23,13:58:56,[26:218],,
2020-10-23,13:59:01:,181,26,2020-10-23,13:58:55,,,
2020-10-23,13:59:05:,181,26,2020-10-23,13:59:03,[9:216],[9:216],
2020-10-23,13:59:10:,189,09,2020-10-23,13:59:04,[26:218],,
2020-10-23,13:59:10:,181,26,2020-10-23,13:59:11,,,
2020-10-23,13:59:19:,189,09,2020-10-23,13:59:12,[26:218],[26:218],
2020-10-23,13:59:21:,189,09,2020-10-23,13:59:20,,,
2020-10-23,13:59:23:,181,26,2020-10-23,13:59:19,[9:216],,
2020-10-23,13:59:32:,181,26,2020-10-23,13:59:27,[9:216],[9:216],
2020-10-23,13:59:33:,189,09,2020-10-23,13:59:28,[26:218],,
2020-10-23,13:59:35:,189,09,2020-10-23,13:59:36,[26:218],,
2020-10-23,13:59:39:,181,26,2020-10-23,13:59:35,[9:216],,
2020-10-23,13:59:43:,181,26,2020-10-23,13:59:43,[9:216],,
2020-10-23,13:59:49:,189,09,2020-10-23,13:59:44,[26:218],[26:218],
2020-10-23,13:59:54:,181,26,2020-10-23,13:59:51,[9:216],,
2020-10-23,13:59:56:,189,09,2020-10-23,13:59:52,,,
2020-10-23,14:00:01:,189,09,2020-10-23,14:00:00,[26:218],,
2020-10-23,14:00:02:,181,26,2020-10-23,13:59:59,[9:216],,
2020-10-23,14:00:07:,181,26,2020-10-23,14:00:07,[9:216],,
2020-10-23,14:00:12:,189,09,2020-10-23,14:00:08,[26:218],,
2020-10-23,14:00:18:,181,26,2020-10-23,14:00:15,[9:216],,
2020-10-23,14:00:23:,189,09,2020-10-23,14:00:16,[26:218],,
2020-10-23,14:00:24:,181,26,2020-10-23,14:00:23,,,
2020-10-23,14:00:27:,189,09,2020-10-23,14:00:24,[26:218],,
2020-10-23,14:00:31:,181,26,2020-10-23,14:00:31,[9:216],[9:215],
